                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.0835,                0.68553,                0.97606,                0.69577,                0.69107,                0.65732,                0.27615,                  2.008,                 1.1256,                 1.5019,               0.001387,               0.001387,               0.001387
                     89,                 1.0848,                0.65753,                0.96752,                0.73408,                0.65282,                 0.6451,                0.26672,                 1.9909,                 1.1303,                 1.4962,               0.001288,               0.001288,               0.001288
                     90,                 1.0645,                0.62569,                0.98661,                0.71855,                0.62698,                0.64972,                0.27223,                  2.032,                 1.1185,                  1.528,               0.001189,               0.001189,               0.001189
                     91,                 1.0665,                0.62478,                0.98371,                0.77468,                0.61116,                0.65122,                0.28063,                  1.992,                 1.1002,                 1.5188,                0.00109,                0.00109,                0.00109
                     92,                 1.0606,                0.62145,                0.97427,                0.68313,                0.67921,                0.65623,                0.27732,                 1.9913,                 1.1246,                 1.4917,               0.000991,               0.000991,               0.000991
                     93,                 1.0584,                0.61692,                 0.9748,                0.67469,                0.66463,                0.64688,                0.27841,                 1.9939,                 1.1544,                 1.5064,               0.000892,               0.000892,               0.000892
                     94,                 1.0104,                0.61429,                0.95597,                0.78049,                0.59244,                0.64933,                0.27625,                 2.0029,                 1.1468,                 1.5011,               0.000793,               0.000793,               0.000793
                     95,                 1.0126,                0.61098,                0.96608,                0.77023,                0.60653,                0.65288,                0.27854,                 2.0108,                 1.1638,                 1.5043,               0.000694,               0.000694,               0.000694
                     96,                 0.9708,                0.58924,                0.94721,                 0.7528,                0.62723,                0.65848,                0.29001,                 1.9921,                 1.1336,                 1.5024,               0.000595,               0.000595,               0.000595
                     97,                 1.0074,                0.61349,                0.95868,                0.75658,                0.63259,                0.66588,                0.28612,                 1.9875,                 1.1505,                 1.5026,               0.000496,               0.000496,               0.000496
                     98,                 1.0021,                0.59893,                0.96389,                0.70833,                0.63428,                0.65892,                0.29371,                 1.9933,                 1.1119,                 1.5081,               0.000397,               0.000397,               0.000397
                     99,                 0.9989,                0.59827,                0.96047,                0.74632,                0.59813,                0.65447,                0.28656,                 1.9996,                 1.1188,                 1.5142,               0.000298,               0.000298,               0.000298
